variabele naam OViN;variabele label OViN;code OViN;code label OViN
Wogem;Woongemeente;;
;;3;Appingedam
;;5;Bedum
;;7;Bellingwedde
;;9;Ten Boer
;;10;Delfzijl
;;14;Groningen
;;15;Grootegast
;;17;Haren
;;18;Hoogezand-Sappemeer
;;22;Leek
;;24;Loppersum
;;25;Marum
;;34;Almere
;;37;Stadskanaal
;;40;Slochteren
;;47;Veendam
;;48;Vlagtwedde
;;50;Zeewolde
;;51;Skarsterl‰n
;;53;Winsum
;;55;Boarnsterhim
;;56;Zuidhorn
;;58;Dongeradeel
;;59;Achtkarspelen
;;60;Ameland
;;63;het Bildt
;;70;Franekeradeel
;;72;Harlingen
;;74;Heerenveen
;;79;Kollumerland en Nieuwkruisland
;;80;Leeuwarden
;;81;Leeuwarderadeel
;;82;Lemsterland
;;85;Ooststellingwerf
;;86;Opsterland
;;88;Schiermonnikoog
;;90;Smallingerland
;;93;Terschelling
;;96;Vlieland
;;98;Weststellingwerf
;;106;Assen
;;109;Coevorden
;;114;Emmen
;;118;Hoogeveen
;;119;Meppel
;;140;Littenseradiel
;;141;Almelo
;;147;Borne
;;148;Dalfsen
;;150;Deventer
;;153;Enschede
;;158;Haaksbergen
;;160;Hardenberg
;;163;Hellendoorn
;;164;Hengelo
;;166;Kampen
;;168;Losser
;;171;Noordoostpolder
;;173;Oldenzaal
;;175;Ommen
;;177;Raalte
;;180;Staphorst
;;183;Tubbergen
;;184;Urk
;;189;Wierden
;;193;Zwolle
;;196;Rijnwaarden
;;197;Aalten
;;200;Apeldoorn
;;202;Arnhem
;;203;Barneveld
;;209;Beuningen
;;213;Brummen
;;214;Buren
;;216;Culemborg
;;221;Doesburg
;;222;Doetinchem
;;225;Druten
;;226;Duiven
;;228;Ede
;;230;Elburg
;;232;Epe
;;233;Ermelo
;;236;Geldermalsen
;;241;Groesbeek
;;243;Harderwijk
;;244;Hattem
;;246;Heerde
;;252;Heumen
;;262;Lochem
;;263;Maasdriel
;;265;Millingen aan de Rijn
;;267;Nijkerk
;;268;Nijmegen
;;269;Oldebroek
;;273;Putten
;;274;Renkum
;;275;Rheden
;;277;Rozendaal
;;279;Scherpenzeel
;;281;Tiel
;;282;Ubbergen
;;285;Voorst
;;289;Wageningen
;;293;Westervoort
;;294;Winterswijk
;;296;Wijchen
;;297;Zaltbommel
;;299;Zevenaar
;;301;Zutphen
;;302;Nunspeet
;;303;Dronten
;;304;Neerijnen
;;307;Amersfoort
;;308;Baarn
;;310;De Bilt
;;312;Bunnik
;;313;Bunschoten
;;317;Eemnes
;;321;Houten
;;327;Leusden
;;331;Lopik
;;335;Montfoort
;;339;Renswoude
;;340;Rhenen
;;342;Soest
;;344;Utrecht
;;345;Veenendaal
;;351;Woudenberg
;;352;Wijk bij Duurstede
;;353;IJsselstein
;;355;Zeist
;;356;Nieuwegein
;;358;Aalsmeer
;;361;Alkmaar
;;362;Amstelveen
;;363;Amsterdam
;;365;Graft-De Rijp
;;370;Beemster
;;373;Bergen (NH.)
;;375;Beverwijk
;;376;Blaricum
;;377;Bloemendaal
;;381;Bussum
;;383;Castricum
;;384;Diemen
;;385;Edam-Volendam
;;388;Enkhuizen
;;392;Haarlem
;;393;Haarlemmerliede en Spaarnwoude
;;394;Haarlemmermeer
;;395;Harenkarspel
;;396;Heemskerk
;;397;Heemstede
;;398;Heerhugowaard
;;399;Heiloo
;;400;Den Helder
;;402;Hilversum
;;405;Hoorn
;;406;Huizen
;;415;Landsmeer
;;416;Langedijk
;;417;Laren
;;420;Medemblik
;;424;Muiden
;;425;Naarden
;;431;Oostzaan
;;432;Opmeer
;;437;Ouder-Amstel
;;439;Purmerend
;;441;Schagen
;;448;Texel
;;450;Uitgeest
;;451;Uithoorn
;;453;Velsen
;;457;Weesp
;;458;Schermer
;;473;Zandvoort
;;476;Zijpe
;;478;Zeevang
;;479;Zaanstad
;;482;Alblasserdam
;;484;Alphen aan den Rijn
;;489;Barendrecht
;;491;Bergambacht
;;498;Drechterland
;;499;Boskoop
;;501;Brielle
;;502;Capelle aan den IJssel
;;503;Delft
;;504;Dirksland
;;505;Dordrecht
;;511;Goedereede
;;512;Gorinchem
;;513;Gouda
;;518;'s-Gravenhage
;;523;Hardinxveld-Giessendam
;;530;Hellevoetsluis
;;531;Hendrik-Ido-Ambacht
;;532;Stede Broec
;;534;Hillegom
;;537;Katwijk
;;542;Krimpen aan den IJssel
;;545;Leerdam
;;546;Leiden
;;547;Leiderdorp
;;553;Lisse
;;556;Maassluis
;;559;Middelharnis
;;568;Bernisse
;;569;Nieuwkoop
;;571;Nieuw-Lekkerland
;;575;Noordwijk
;;576;Noordwijkerhout
;;579;Oegstgeest
;;580;Oostflakkee
;;584;Oud-Beijerland
;;585;Binnenmaas
;;588;Korendijk
;;589;Oudewater
;;590;Papendrecht
;;597;Ridderkerk
;;599;Rotterdam
;;603;Rijswijk
;;606;Schiedam
;;608;Schoonhoven
;;610;Sliedrecht
;;611;Cromstrijen
;;612;Spijkenisse
;;613;Albrandswaard
;;614;Westvoorne
;;617;Strijen
;;620;Vianen
;;622;Vlaardingen
;;623;Vlist
;;626;Voorschoten
;;627;Waddinxveen
;;629;Wassenaar
;;632;Woerden
;;637;Zoetermeer
;;638;Zoeterwoude
;;642;Zwijndrecht
;;643;Nederlek
;;644;Ouderkerk
;;653;Gaasterl‰n-Sleat
;;654;Borsele
;;664;Goes
;;668;West Maas en Waal
;;677;Hulst
;;678;Kapelle
;;687;Middelburg
;;689;Giessenlanden
;;693;Graafstroom
;;694;Liesveld
;;703;Reimerswaal
;;707;Zederik
;;715;Terneuzen
;;716;Tholen
;;717;Veere
;;718;Vlissingen
;;733;Lingewaal
;;736;De Ronde Venen
;;737;Tytsjerksteradiel
;;738;Aalburg
;;743;Asten
;;744;Baarle-Nassau
;;748;Bergen op Zoom
;;753;Best
;;755;Boekel
;;756;Boxmeer
;;757;Boxtel
;;758;Breda
;;762;Deurne
;;765;Pekela
;;766;Dongen
;;770;Eersel
;;772;Eindhoven
;;777;Etten-Leur
;;779;Geertruidenberg
;;784;Gilze en Rijen
;;785;Goirle
;;786;Grave
;;788;Haaren
;;794;Helmond
;;796;'s-Hertogenbosch
;;797;Heusden
;;798;Hilvarenbeek
;;809;Loon op Zand
;;815;Mill en Sint Hubert
;;820;Nuenen, Gerwen en Nederwetten
;;823;Oirschot
;;824;Oisterwijk
;;826;Oosterhout
;;828;Oss
;;840;Rucphen
;;844;Schijndel
;;845;Sint-Michielsgestel
;;846;Sint-Oedenrode
;;847;Someren
;;848;Son en Breugel
;;851;Steenbergen
;;852;Waterland
;;855;Tilburg
;;856;Uden
;;858;Valkenswaard
;;860;Veghel
;;861;Veldhoven
;;865;Vught
;;866;Waalre
;;867;Waalwijk
;;870;Werkendam
;;873;Woensdrecht
;;874;Woudrichem
;;879;Zundert
;;880;Wormerland
;;881;Onderbanken
;;882;Landgraaf
;;888;Beek
;;889;Beesel
;;893;Bergen (L.)
;;899;Brunssum
;;907;Gennep
;;917;Heerlen
;;928;Kerkrade
;;935;Maastricht
;;938;Meerssen
;;944;Mook en Middelaar
;;946;Nederweert
;;951;Nuth
;;957;Roermond
;;962;Schinnen
;;965;Simpelveld
;;971;Stein
;;981;Vaals
;;983;Venlo
;;984;Venray
;;986;Voerendaal
;;988;Weert
;;994;Valkenburg aan de Geul
;;995;Lelystad
;;1507;Horst aan de Maas
;;1509;Oude IJsselstreek
;;1525;Teylingen
;;1581;Utrechtse Heuvelrug
;;1586;Oost Gelre
;;1598;Koggenland
;;1621;Lansingerland
;;1640;Leudal
;;1641;Maasgouw
;;1651;Eemsmond
;;1652;Gemert-Bakel
;;1655;Halderberge
;;1658;Heeze-Leende
;;1659;Laarbeek
;;1663;De Marne
;;1667;Reusel-De Mierden
;;1669;Roerdalen
;;1671;Maasdonk
;;1672;Rijnwoude
;;1674;Roosendaal
;;1676;Schouwen-Duiveland
;;1680;Aa en Hunze
;;1681;Borger-Odoorn
;;1684;Cuijk
;;1685;Landerd
;;1690;De Wolden
;;1695;Noord-Beveland
;;1696;Wijdemeren
;;1699;Noordenveld
;;1700;Twenterand
;;1701;Westerveld
;;1702;Sint Anthonis
;;1705;Lingewaard
;;1706;Cranendonck
;;1708;Steenwijkerland
;;1709;Moerdijk
;;1711;Echt-Susteren
;;1714;Sluis
;;1719;Drimmelen
;;1721;Bernheze
;;1722;Ferwerderadiel
;;1723;Alphen-Chaam
;;1724;Bergeijk
;;1728;Bladel
;;1729;Gulpen-Wittem
;;1730;Tynaarlo
;;1731;Midden-Drenthe
;;1734;Overbetuwe
;;1735;Hof van Twente
;;1740;Neder-Betuwe
;;1742;Rijssen-Holten
;;1771;Geldrop-Mierlo
;;1773;Olst-Wijhe
;;1774;Dinkelland
;;1783;Westland
;;1842;Midden-Delfland
;;1859;Berkelland
;;1876;Bronckhorst
;;1883;Sittard-Geleen
;;1884;Kaag en Braassem
;;1891;Dantumadiel
;;1892;Zuidplas
;;1894;Peel en Maas
;;1895;Oldambt
;;1896;Zwartewaterland
;;1916;Leidschendam-Voorburg
;;1926;Pijnacker-Nootdorp
;;1955;Montferland
;;1987;Menterwolde
;;1900;Sœdwest Frysl‰n
;;1901;Bodegraven-Reeuwijk
;;1903;Eijsden-Margraten
;;1904;Stichtse Vecht
;;1908;Menarmeradiel
;;1911;Hollands Kroon
