"Municipality","Car","Car passenger","Rail","Bus/Tram/Metro","Bicycle","Walk","gm_code"
3,14.033363379946,14,0,0,5.17580137913579,0,"GM0003"
5,18.1866692943676,0,0,0,32,0,"GM0005"
7,23.3426351890918,0,0,0,0.3,0,"GM0007"
9,13.9210024927424,7,0,0,7.78364769114643,0,"GM0009"
10,15.6042366108038,20,0,0,2.36185127481761,1,"GM0010"
14,35.7742909829508,28.1584794938803,57.8181596661378,21.2307806345621,3.56450061070672,1.86848054300347,"GM0014"
15,35.0126316143191,26.5235698469504,0,0,6.6184378072395,0,"GM0015"
17,20.5299092088012,0,0,0,6.29498587298165,0,"GM0017"
18,22.4744723958004,37.5479016149068,20.7,0,3.932125679265,0.639740756630997,"GM0018"
22,13.7507992858072,0,0,0,4.00369088289359,1.25,"GM0022"
24,37.9653359974635,13.5785805152948,20.8,0,4.95389446689943,0,"GM0024"
25,14.5204458694849,11.4972932299227,0,0,3.41478734297079,0,"GM0025"
34,32.3723389787056,14.6476738391293,33.7555200632818,12.256075317721,3.12983171664424,4.33773161588745,"GM0034"
37,32.9484356618174,30.8,0,0,2.58472688388402,0.4,"GM0037"
40,17.5957896385787,8,0,0,8.73471416026827,0,"GM0040"
47,21.3654376266333,70,0,0,2.09650670450266,0.1,"GM0047"
48,43.9614035811247,0,56,0,0.5,0,"GM0048"
50,31.8754810657891,6,52.489252654453,12.65,1.88455569179314,0,"GM0050"
51,27.0148520879066,68.7108057832172,62.6246427349019,6.1,2.77499409656901,0,"GM0051"
53,20.9341321264079,18,19.8260985845633,27.1,1.56567271697553,0,"GM0053"
55,32.1854929419135,65,0,0,5.60846960005648,0,"GM0055"
56,23.2381269412051,14.9396066208021,74.0018342765277,0,9.72102639914237,0.25,"GM0056"
58,22.6822231959852,10.6962638689989,0,0,4.28686658606578,0.5,"GM0058"
59,20.4326290542548,27.4283243378902,0,0,3.09686890024243,0.1,"GM0059"
60,5.3,0,0,0,0.956439628961732,0.1,"GM0060"
63,11.7545431706532,0,0,0,11,0,"GM0063"
70,31.6700338837392,60.0420056152447,26,0,2.89477356820498,8,"GM0070"
72,25.2686437950445,5,30,0,1.29336193284319,0.614356689308499,"GM0072"
74,21.6847065442013,42,58.4297372431346,37.25,8.2747452735165,0.2,"GM0074"
79,28.8019771618268,104.6,0,0,0,0.5,"GM0079"
80,23.5835765042094,26.7900148969792,28.1568173943281,5,3.34882714032725,0.36821433326231,"GM0080"
81,13.6166967836547,0,0,0,2.69357251549489,0,"GM0081"
82,58.217063957759,0,0,0,1,0.4,"GM0082"
85,19.7265698321998,14.2946481091634,0,60,1.1572643967726,0,"GM0085"
86,27.9501510105691,51.8125040640043,43.4,0,3.40227429243584,0,"GM0086"
90,27.1577792091936,45,155,30.05,2.82296532766639,0,"GM0090"
93,1.8842670483602,0,0,0,0,0,"GM0093"
96,0,0,0,0,2,0,"GM0096"
98,24.2396391485614,0,48,0,1.95106416760338,2.5,"GM0098"
106,18.2278404889756,76.6198632185169,63.5688684343478,5.1,3.1598112531868,0.843145966410161,"GM0106"
109,22.9112730667179,34.8935309586838,50,0,5.26360629441575,5.63933207696158,"GM0109"
114,22.2937736548565,41.8362695323207,103.617936034998,0,4.15433245416861,1.6,"GM0114"
118,23.9694122064064,39.2647843863528,111.05,0,3.09016338337598,0.4,"GM0118"
119,34.7413492583927,45.2321376250887,26.640120349309,2,2.75146376755537,0.886149665379743,"GM0119"
140,40.399451179695,9.36291211539026,62.860840627149,0,4.79844846143113,0,"GM0140"
141,16.2726331409103,5.04751415441081,30.9793103584282,4.76034239152134,5.23463283457692,1,"GM0141"
147,15.0051758578732,0,0,0,3.18181294360835,0,"GM0147"
148,14.7059901954942,0,0,0,3,0,"GM0148"
150,34.7961539183488,29.4652229095573,47.9515061058351,0,3.49362310344963,0.572408616777717,"GM0150"
153,14.9480993555669,7.72802485707173,54.0749729692091,7.94882795514613,3.98497481208453,1.10675837411762,"GM0153"
158,12.2076588815215,0,0,0,5.55736744590035,15,"GM0158"
160,23.6589191235117,46.0279973491583,0,0,3.48851766949061,0.1,"GM0160"
163,30.6497815179413,81.6934839627204,43,0,3.89493554649957,0,"GM0163"
