"name","area_sqkm","Totale.bevolking","density","energy"
"Noord-Brabant",5200.58198977095,2463686,473.732748535806,33.657528
"Utrecht",1389.51099587377,1237117,890.325448070359,36.145579
"Zuid-Holland",3194.60453714166,3552407,1112.00211440834,31.368798
"Noord-Holland",2941.80425490878,2709822,921.142865123781,30.147404
"Drenthe",2636.98734916563,490807,186.124139031345,40.599225
"Friesland",3534.64032514234,647214,183.10604204798,37.640318
"Gelderland",5092.13722067785,2010745,394.872508901545,32.078094
"Groningen",2396.35124636574,580875,242.399773773124,34.355267
"Limburg",2094.64253053684,1123075,536.165471495589,26.107965
"Overijssel",3337.05186189757,1137668,340.920083679215,33.782057
"Flevoland",1414.59030486954,395525,279.603923933635,48.958132
"Zeeland",1897.44780689098,381407,201.010535633623,38.731728
