"Municipality","Bicycle","Bus/Tram/Metro","Car","Car passenger","Rail","Walk","name"
3,0.0757185107547881,0,16.7283162267304,3.82326157072827,0,0,"Appingedam"
5,0.138215314577027,0,35.4426721551399,0,0,0,"Bedum"
7,0.00244494099758134,0,42.36120789113,0,0,0,"Bellingwedde"
9,0.150831288619272,0,16.0321484267202,0.553340525145636,0,0,"Ten Boer"
10,0.0164284774812773,0,26.0183364896607,1.66140725774435,0,0.00304631972853564,"Delfzijl"
14,0.107212170300466,0.750997603950509,23.1007967599537,1.97535864398663,5.53794369159708,0.0136511884950912,"Groningen"
15,0.083688514366005,0,40.8626467057259,6.32214753621881,0,0,"Grootegast"
17,0.231958464204676,0,16.635701887441,0,0,0,"Haren"
18,0.0483947652118146,0,30.6709173559042,6.53418836315312,0.638589294465731,0.00444772749055807,"Hoogezand-Sappemeer"
22,0.0527179957181404,0,21.0886406499959,0,0,0.0100488199720955,"Leek"
24,0.0756780608458298,0,45.2336365991884,3.02320973445409,2.47156401706286,0,"Loppersum"
25,0.0148639327672698,0,18.9433577015174,3.14749683969262,0,0,"Marum"
34,0.0190451764251011,0.745598652675277,36.9371707723629,1.31249641752446,9.92607227301245,0.0314982794903949,"Almere"
37,0.0372525336400074,0,44.1257672314118,0.478747345811387,0,0.000696371361875072,"Stadskanaal"
40,0.131977071332388,0,25.8760660209944,0.804680364157068,0,0,"Slochteren"
47,0.0073701972632949,0,40.5061373453592,3.74604004860414,0,0.00021007035161053,"Veendam"
48,0.00195290116759299,0,71.379199359471,0,2.40148415879571,0,"Vlagtwedde"
50,0.0195257227432831,0.301910733561105,44.0456772847934,0.19414264442584,9.18999973167216,0,"Zeewolde"
51,0.027248376334569,0.0473543921689374,33.1460803457743,13.7099350830558,4.25304005307386,0,"Skarsterl‰n"
53,0.00819323755652211,1.00626007261511,23.4103999707642,1.5650052025713,4.49868172780973,0,"Winsum"
55,0.0811596368071517,0,45.1564118100847,5.74042494177732,0,0,"Boarnsterhim"
56,0.0645306500452389,0,29.6310498696296,3.3574939825137,17.2662571511924,0.00134977329053876,"Zuidhorn"
58,0.0668393284779387,0,30.5431370538159,1.0872764110831,0,0.00177805098009924,"Dongeradeel"
59,0.0434959321523951,0,26.8674531409609,7.27900053573094,0,0.000214163269674954,"Achtkarspelen"
60,0.0400809637599932,0,2.57691985175995,0,0,0.0011204868475997,"Ameland"
63,0.0453381569943683,0,22.9888564467004,0,0,0,"het Bildt"
70,0.048248154189445,0,31.4361221484856,13.2513582245652,0.762812770451369,0.0739959633561779,"Franekeradeel"
72,0.0183836437695353,0,27.7946779296143,0.763264438433986,1.8673911866881,0.0126696872202384,"Harlingen"
74,0.128549173735825,1.32800769795767,26.445467634899,2.88565918705726,5.8951915075107,0.000360904663982925,"Heerenveen"
