"Province","Car","Car passenger","Rail","Bus/Tram/Metro","Bicycle","Walk"
"Groningen",0.507201681915932,0.0404796335036745,0.0401372653939306,0.0165347584610833,0.336671019013167,0.0261796503288207
"Friesland",0.588760601467147,0.0494998876284058,0.0222304804458006,0.0116716426773066,0.265904765620699,0.0281410412787605
"Drenthe",0.652640633373833,0.0366815116747326,0.0209291473747833,0.00741313519984837,0.212653471857584,0.0346642200507383
"Overijssel",0.558586934016281,0.0422808462385935,0.0374715980031315,0.0130314885669836,0.288161018882419,0.0291486347918625
"Flevoland",0.58052699056787,0.0456418167619491,0.105359846041068,0.0382792631877486,0.172825171180758,0.0320409415245843
"Gelderland",0.57008903454531,0.0432972800102115,0.0328890392174729,0.0131477029603959,0.266297384349464,0.0339694002279057
"Utrecht",0.506063774225687,0.0344516433298728,0.088571444138488,0.0318568852788105,0.246986919302604,0.0561096130852949
"Noord-Holland",0.430232110858503,0.0388497623668262,0.100467740861187,0.0729669692413482,0.270868841818071,0.046395702265696
"Zuid-Holland",0.520726372183726,0.0443220833466276,0.0567656532147247,0.0564157860822158,0.230342373862878,0.0480187213305726
"Zeeland",0.594738298461796,0.033437191300967,0.00799602082519128,0.018310991305059,0.249270288848349,0.0330452010610022
"Noord-Brabant",0.621846010012399,0.0443445625467778,0.0246775853118983,0.00867133993564097,0.222950490731125,0.039032195923071
"Limburg",0.602949219926727,0.0326760195252655,0.0282294516921326,0.0215500350509689,0.223381314133477,0.0653113030147546
